YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Lancha,SPAN,     593000.,1000, 0.0000000,0,    0.0000000,0
Langdal,SWDN,     753000.,180, 0.0001500,2130,    0.0154000,6490
Langsele,SWDN,    4807000.,390, 0.0000800,0,    0.0026000,3500
Lenora-Twin J,CNBC,     267000.,1740, 0.0002440,910,    0.0089900,11900
Levi,SWDN,    7300000.,1370, 0.0000200,90,    0.0024000,1570
Lingwick,CNQU,     318000.,600, 0.0000000,0,    0.0017000,6000
Lomero Poyatos,SPAN,    4332000.,900, 0.0004500,1000,    0.0075000,1600
Lost Lake,CNMN,     224000.,1450, 0.0002640,1070,    0.0073500,4900
Lousal,PORT,     600000.,700, 0.0000700,800,    0.0021000,1400
Louvem,CNQU,    2683000.,750, 0.0000770,80,    0.0037200,4040
Lyndhurst,CNQU,     200000.,1840, 0.0000022,0,    0.0007960,0
Lynx,CNQU,     204000.,1600, 0.0000000,0,    0.0000000,350
Lyon Lake,CNON,    3700000.,1150, 0.0000340,630,    0.0116000,6660
MacBride Lake,CNMN,     957000.,320, 0.0000140,0,    0.0011700,8230
Madenkoy,TRKY,   30000000.,2880, 0.0000000,110,    0.0000000,4340
Malaiba,PLPN,      20000.,2270, 0.0000000,0,    0.0000000,0
Mamie,CNBC,      55000.,700, 0.0011000,0,    0.0000000,7600
Mammoth,USCA,    3100000.,3930, 0.0001330,0,    0.0079400,4590
Mandy,CNMN,     150000.,8000, 0.0003260,0,    0.0065000,15000
Mankayan,PLPN,    7168000.,2570, 0.0003740,0,    0.0000000,0
Marcos,PLPN,    5560000.,1180, 0.0000000,0,    0.0000000,0
Mattabi,CNON,   11672000.,910, 0.0000240,840,    0.0107000,7670
Mattagami Lake,CNQU,   25200000.,630, 0.0000450,100,    0.0032600,9170
McMaster,CNNB,     200000.,600, 0.0000000,0,    0.0000000,0
Metsamonttu,FNLD,    1510000.,100, 0.0000350,100,    0.0006300,4600
Mic Mac,CNQU,     354000.,250, 0.0000100,0,    0.0004460,0
Milan,USNH,     500000.,2250, 0.0002400,1570,    0.0050000,7260
Millenbach,CNQU,    3205000.,3430, 0.0000890,0,    0.0052000,4230
Mobrun,CNQU,    2720000.,690, 0.0001780,0,    0.0021300,2180
Mofjell,NRWY,    4200000.,230, 0.0000000,710,    0.0006000,3920
Moinho,PORT,   70000000.,1500, 0.0000700,1280,    0.0034000,3900
