yacName,Loc,Tonn,Au,Ag
Oriential,AUVT,130000,  0.001400,  0.0000000
Oriflamme,,2300,  0.001600,  0.0000000
Oro Gde-Buena Vsta,USCA,2400,  0.000910,  0.0000000
Oturehua Field,NZLD,2100,  0.005800,  0.0000000
Ovens,CNNS,490,  0.002200,  0.0000000
Oya,JAPN,1800000,  0.000740,  0.0002100
Paparoa Range,NZLD,4000,  0.001500,  0.0000000
Patrick,USCA,25000,  0.000930,  0.0000000
Penryn,USCA,120000,  0.001800,  0.0000000
Perkins,,9,  0.003500,  0.0000000
Peterson Lake,,560,  0.001200,  0.0000000
Phoenix,USCA,27000,  0.001000,  0.0000000
Pilot Reef,,820,  0.005000,  0.0000000
Pipestem,CNBC,650000,  0.001500,  0.0006500
Placerville,USCA,210000,  0.001200,  0.0000000
Pleasant River,CNNS,460,  0.000740,  0.0000000
Plumas-Eureka,,1200000,  0.001300,  0.0001200
Porto Rico,CNBC,5700,  0.003100,  0.0008100
Pride of the West,,21780,  0.006000,  0.0000000
Pyramid,USCA,11000,  0.002700,  0.0003800
Q,,470000,  0.002600,  0.0000000
Rainbow,USOR,330,  0.004200,  0.0000000
Rainbow,USCA,2300,  0.001800,  0.0000000
Ranch,USCA,3600,  0.000410,  0.0000000
Ravenswood,NZLD,900,  0.000450,  0.0000000
Red Cloud,,45000,  0.005000,  0.0000000
Reed Flat,,780,  0.001200,  0.0003100
Reefton Goldfield,NZLD,3600000,  0.001800,  0.0000000
Reicher Trost,PLND,6000,  0.002000,  0.0000000
Renfrew,CNNS,6100,  0.002700,  0.0000000
Rich,USCA,160,  0.001600,  0.0017000
Rich Gulch,USCA,82000,  0.000720,  0.0000000
Rich Gulch-Virglia,USCA,15600000,  0.000290,  0.0005400
Rindge No. 1,USCA,1800,  0.000410,  0.0000000
Rise and ShineMine,,500,  0.000310,  0.0000000
Robert E,USOR,4100,  0.003600,  0.0000000
Robertson,USOR,4500,  0.004800,  0.0000000
Rose of Denmark,AUVT,150000,  0.001200,  0.0000000
Rosethistle-Shmrck,AUVT,100000,  0.002100,  0.0000000
Royal MountainKing,USCA,9800000,  0.000290,  0.0000000
Ruth Pierce,,35000,  0.001900,  0.0000000
Ryan,USCA,17,  0.003300,  0.0000000
Ryan Group,USAK,18000,  0.001600,  0.0000000
S.Branch Stewiacke,CNNS,160,  0.000840,  0.0000000
